TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
16;0;055;   ;0;L;500;A2;    ;    ; ;0;0;49157;49157;49157;0;29111;15494;0;0;12644;328;66;0;413;564;8; ;R;380;0;0;12668;332;66;0;441;520;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;061;   ;0;L;500;A2;    ;    ; ;0;0;199991;199991;199991;0;99037;85161;0;0;51457;1340;276;0;1412;3108;40; ;R;1521;0;0;51221;1328;276;0;1336;3072;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;078;   ;0;L;500;A2;    ;    ; ;0;0;4810446;4810446;4810446;0;4154792;651622;0;0;1237278;32502;6330;0;59007;23733;120; ;R;37055;0;0;1235894;32486;6330;0;59443;22101;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;101;   ;0;L;500;A2;    ;    ; ;0;0;62009;62009;62009;0;28142;35257;0;0;15952;422;87;0;397;1283;14; ;R;479;0;0;15988;426;87;0;365;1267;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;113;   ;0;L;500;A2;    ;    ; ;0;0;3986800;3986800;3986800;0;3599697;293714;0;0;1025408;26949;5232;0;51100;10687;87; ;R;30735;0;0;1024944;26945;5232;0;50964;10719;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;119;   ;0;L;500;A2;    ;    ; ;0;0;104020;104020;104020;0;38248;54903;0;0;26759;705;138;0;540;1996;23; ;R;816;0;0;26759;701;138;0;544;1988;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;120;   ;0;L;500;A2;    ;    ; ;0;0;141856;141856;141856;0;75546;53339;0;0;36490;973;182;0;1070;1938;20; ;R;1106;0;0;36906;985;182;0;1130;1934;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;138;   ;0;L;500;A2;    ;    ; ;0;0;616586;616586;616586;0;493249;211918;0;0;158589;4173;814;0;6996;7708;51; ;R;4734;0;0;158129;4161;814;0;6936;7716;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;146;   ;0;L;500;A2;    ;    ; ;0;0;231609;231609;231609;0;187005;50931;0;0;59576;1570;319;0;2655;1853;23; ;R;1783;0;0;59364;1562;319;0;2619;1829;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;154;   ;0;L;500;A2;    ;    ; ;0;0;2572927;2572927;2572927;0;2212977;327431;0;0;661762;17390;3374;0;31414;11915;82; ;R;19948;0;0;665454;17482;3374;0;31734;12031;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;166;   ;0;L;500;A2;    ;    ; ;0;0;2385729;2385729;2385729;0;1868379;370242;0;0;613616;16117;3127;0;26523;13478;89; ;R;18200;0;0;607164;15965;3127;0;26931;13482;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;168;   ;0;L;500;A2;    ;    ; ;0;0;22308;22308;22308;0;10782;7876;0;0;5741;148;33;0;153;289;7; ;R;165;0;0;5629;148;33;0;137;289;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;187;   ;0;L;500;A2;    ;    ; ;0;0;160617;160617;160617;0;95404;40071;0;0;41314;1087;215;0;1351;1460;16; ;R;1240;0;0;41450;1087;215;0;1363;1464;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;199;   ;0;L;500;A2;    ;    ; ;0;0;198492;198492;198492;0;90856;74189;0;0;51054;1340;264;0;1289;2699;27; ;R;1531;0;0;51274;1344;264;0;1289;2699;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;210;   ;0;L;500;A2;    ;    ; ;0;0;32794;32794;32794;0;18269;17407;0;0;8437;220;45;0;260;635;7; ;R;255;0;0;8569;224;45;0;260;635;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;232;   ;0;L;500;A2;    ;    ; ;0;0;605197;605197;605197;0;531631;98532;0;0;155658;4089;793;0;7546;3585;28; ;R;4730;0;0;157778;4133;793;0;7670;3905;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;236;   ;0;L;500;A2;    ;    ; ;0;0;393887;393887;393887;0;329377;43391;0;0;101312;2667;528;0;4677;1578;23; ;R;3020;0;0;101204;2667;528;0;4689;1550;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;244;   ;0;L;500;A2;    ;    ; ;0;0;1539816;1539816;1539816;0;1436614;104498;0;0;396039;10412;2015;0;20399;3801;28; ;R;11833;0;0;394563;10376;2015;0;20183;3857;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;263;   ;0;L;500;A2;    ;    ; ;0;0;14360;14360;14360;0;7323;0;0;0;3694;99;21;0;105;0;0; ;R;108;0;0;3694;99;21;0;105;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;271;   ;0;L;500;A2;    ;    ; ;0;0;489607;489607;489607;0;348664;113306;0;0;125930;3308;648;0;4949;4122;31; ;R;3727;0;0;124426;3268;648;0;4745;4154;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;287;   ;0;L;500;A2;    ;    ; ;0;0;1181310;1181310;1181310;0;1079967;107123;0;0;303838;7995;1569;0;15336;3899;46; ;R;9023;0;0;301322;7931;1569;0;15097;3763;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;291;   ;0;L;500;A2;    ;    ; ;0;0;2836034;2836034;2836034;0;2467712;156876;0;0;729438;19181;3712;0;35034;5707;57; ;R;21886;0;0;730166;19189;3712;0;35134;5727;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;341;   ;0;L;500;A2;    ;    ; ;0;0;418006;418006;418006;0;207617;46544;0;0;107516;2824;552;0;2944;1694;17; ;R;3205;0;0;107124;2816;552;0;2916;1674;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;348;   ;0;L;500;A2;    ;    ; ;0;0;65826;65826;65826;0;24571;24500;0;0;16930;446;86;0;345;890;12; ;R;506;0;0;16946;446;86;0;345;890;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;358;   ;0;L;500;A2;    ;    ; ;0;0;1430472;1430472;1430472;0;1117460;254353;0;0;367923;9665;1880;0;15854;9256;82; ;R;11019;0;0;368019;9657;1880;0;15962;9280;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;368;   ;0;L;500;A2;    ;    ; ;0;0;48770;48770;48770;0;22946;22771;0;0;12539;333;65;0;328;825;13; ;R;384;0;0;12583;333;65;0;332;829;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;370;   ;0;L;500;A2;    ;    ; ;0;0;167449;167449;167449;0;129740;41985;0;0;43070;1135;225;0;1842;1528;16; ;R;1286;0;0;43082;1131;225;0;1838;1540;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;374;   ;0;L;500;A2;    ;    ; ;0;0;3799915;3799915;3799915;0;2684219;380536;0;0;977335;25670;5007;0;38106;13849;84; ;R;29552;0;0;985955;25866;5007;0;39114;13121;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;382;   ;0;L;500;A2;    ;    ; ;0;0;15446;15446;15446;0;5964;4294;0;0;3971;108;21;0;84;156;3; ;R;118;0;0;3963;108;21;0;84;156;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;385;   ;0;L;500;A2;    ;    ; ;0;0;273363;273363;273363;0;250849;9625;0;0;70308;1850;358;0;3561;350;3; ;R;2109;0;0;70352;1850;358;0;3561;350;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;388;   ;0;L;500;A2;    ;    ; ;0;0;41179;41179;41179;0;30398;11960;0;0;10593;281;57;0;432;435;5; ;R;314;0;0;10581;281;57;0;424;447;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;415;   ;0;L;500;A2;    ;    ; ;0;0;36734;36734;36734;0;14678;13101;0;0;9454;243;55;0;210;480;10; ;R;274;0;0;9458;243;55;0;206;480;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;418;   ;0;L;500;A2;    ;    ; ;0;0;195210;195210;195210;0;153276;28611;0;0;50209;1324;264;0;2175;1041;14; ;R;1496;0;0;50185;1324;264;0;2175;1041;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;420;   ;0;L;500;A2;    ;    ; ;0;0;11034;11034;11034;0;6189;4020;0;0;2838;77;16;0;89;146;3; ;R;83;0;0;2838;77;16;0;89;146;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;422;   ;0;L;500;A2;    ;    ; ;0;0;28616;28616;28616;0;9888;9376;0;0;7358;192;38;0;141;341;4; ;R;220;0;0;7366;192;38;0;141;341;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;012;   ;0;L;600;A2;    ;    ; ;0;0;354600;354600;354600;0;294154;109594;0;0;86169;2397;651;0;4179;3988;9; ;R;2595;0;0;86193;2401;651;0;4187;3988;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;013;   ;0;L;600;A2;    ;    ; ;0;0;47505;47505;47505;0;38167;2640;0;0;11145;324;84;0;541;96;2; ;R;334;0;0;11161;324;84;0;545;96;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;018;   ;0;L;600;A2;    ;    ; ;0;0;133985;133985;133985;0;97950;29255;0;0;33260;905;249;0;1388;1065;10; ;R;991;0;0;33252;901;249;0;1376;1073;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;032;   ;0;L;600;A2;    ;    ; ;0;0;42925;42925;42925;0;25153;21923;0;0;10285;290;78;0;356;799;12; ;R;317;0;0;10597;294;78;0;396;815;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;045;   ;0;L;600;A2;    ;    ; ;0;0;31349;31349;31349;0;27966;1701;0;0;7634;212;58;0;396;62;1; ;R;230;0;0;7634;212;58;0;396;62;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;050;   ;0;L;600;A2;    ;    ; ;0;0;11272;11272;11272;0;4460;6720;0;0;2778;76;21;0;63;244;5; ;R;85;0;0;2822;76;21;0;67;252;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;056;   ;0;L;600;A2;    ;    ; ;0;0;377554;377554;377554;0;322147;72177;0;0;90496;2552;695;0;4574;2628;12; ;R;2717;0;0;90504;2548;695;0;4542;2700;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;057;   ;0;L;600;A2;    ;    ; ;0;0;19692;19692;19692;0;4236;9915;0;0;4825;136;37;0;60;363;8; ;R;145;0;0;4825;136;37;0;60;363;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;058;   ;0;L;600;A2;    ;    ; ;0;0;108745;108745;108745;0;73715;29119;0;0;26989;735;206;0;1046;1059;10; ;R;800;0;0;26829;731;206;0;1030;1051;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;060;   ;0;L;600;A2;    ;    ; ;0;0;34600;34600;34600;0;21523;14727;0;0;8590;232;67;0;305;535;8; ;R;259;0;0;8714;236;67;0;317;535;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;077;   ;0;L;600;A2;    ;    ; ;0;0;19781;19781;19781;0;9235;8296;0;0;4815;135;37;0;132;303;7; ;R;144;0;0;4815;135;37;0;132;303;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;088;   ;0;L;600;A2;    ;    ; ;0;0;59271;59271;59271;0;34575;25707;0;0;14204;402;109;0;489;936;13; ;R;422;0;0;14112;402;109;0;485;916;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;089;   ;0;L;600;A2;    ;    ; ;0;0;5398971;5398971;5398971;0;4934325;389410;0;0;1340042;36480;9963;0;70059;14168;72; ;R;39903;0;0;1331416;36292;9963;0;69028;13856;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;090;   ;0;L;600;A2;    ;    ; ;0;0;951028;951028;951028;0;705352;264170;0;0;229534;6444;1746;0;10011;9622;47; ;R;6928;0;0;231406;6472;1746;0;10088;9638;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;097;   ;0;L;600;A2;    ;    ; ;0;0;3274102;3274102;3274102;0;3067265;280006;0;0;812644;22129;6034;0;43553;10189;25; ;R;24355;0;0;812352;22117;6034;0;43465;10269;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;102;   ;0;L;600;A2;    ;    ; ;0;0;8881422;8881422;8881422;0;7368125;1044468;0;0;2204413;60006;16479;0;104613;37998;321; ;R;66092;0;0;2206513;59978;16479;0;104289;38166;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
