TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
16;0;366;   ;0;L;600;A6;    ;    ; ;0;0;7504;7504;7504;0;7504;0;0;0;1812;51;14;0;107;0;0;Z; ;60;0;0;2004;55;14;0;131;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;137;   ;0;V;223;A6;    ;    ; ;0;0;1669;1669;1669;0;379;1669;0;0;397;11;4;0;5;61;2;Z; ;12;0;0;397;11;4;0;5;61;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;211;   ;0;V;223;A6;    ;    ; ;0;0;801;801;801;0;801;0;0;0;191;5;2;0;11;0;0;Z; ;6;0;0;191;5;2;0;11;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;005;411;0;V;383;A6;    ;    ; ;0;0;130009;130009;130009;0;116419;13213;0;0;34388;880;608;0;1653;482;5;Z; ;1044;0;0;34840;892;608;0;1709;438;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;095;   ;0;V;383;A6;    ;    ; ;0;0;4614;4614;4614;0;1522;3092;0;0;1220;32;21;0;22;113;0;Z; ;39;0;0;1288;32;21;0;22;125;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;383;   ;0;V;383;A6;    ;    ; ;0;0;78487;78487;78487;0;75976;5024;0;0;20760;530;366;0;1079;183;1;Z; ;623;0;0;20760;530;366;0;1079;183;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;393;   ;0;V;383;A6;    ;    ; ;0;0;705119;705119;705119;0;682571;44569;0;0;186504;4768;3292;0;9693;1622;5;Z; ;5585;0;0;186212;4760;3292;0;9661;1606;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;414;   ;0;V;383;A6;    ;    ; ;0;0;7829;7829;7829;0;7829;0;0;0;2071;53;37;0;111;0;0;Z; ;51;0;0;1683;45;37;0;59;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;065;   ;0;V;601;A6;    ;    ; ;0;0;5117;5117;5117;0;2559;5117;0;0;1133;35;29;0;36;186;1;Z; ;37;0;0;1249;39;29;0;44;206;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;070;   ;0;V;601;A6;    ;    ; ;0;0;2273;2273;2273;0;1137;2273;0;0;503;15;13;0;16;83;1;Z; ;15;0;0;503;15;13;0;16;83;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;076;   ;0;V;601;A6;    ;    ; ;0;0;156900;156900;156900;0;152845;7095;0;0;34754;1060;901;0;2171;258;1;Z; ;1043;0;0;34782;1060;901;0;2171;262;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;085;   ;0;V;601;A6;    ;    ; ;0;0;99766;99766;99766;0;99766;0;0;0;22098;674;573;0;1417;0;0;Z; ;663;0;0;22098;674;573;0;1417;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;106;   ;0;V;601;A6;    ;    ; ;0;0;164649;164649;164649;0;132985;56581;0;0;36471;1113;946;0;1890;2060;8;Z; ;1103;0;0;36751;1121;946;0;1914;2060;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;132;   ;0;V;601;A6;    ;    ; ;0;0;12128;12128;12128;0;2828;5655;0;0;2687;82;69;0;40;206;1;Z; ;74;0;0;2475;74;69;0;40;202;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;134;   ;0;V;601;A6;    ;    ; ;0;0;19264;19264;19264;0;9633;19264;0;0;4267;130;110;0;137;701;2;Z; ;144;0;0;4795;146;110;0;177;801;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;181;   ;0;V;601;A6;    ;    ; ;0;0;6243;6243;6243;0;6243;0;0;0;1383;42;36;0;89;0;0;Z; ;39;0;0;1283;38;36;0;73;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;192;192;0;V;601;A6;    ;    ; ;0;0;5252;5252;5252;0;1235;0;0;0;1164;35;30;0;18;0;0;Z; ;33;0;0;1112;35;30;0;18;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
