TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN40;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47;TN47
CSDEP;CSDIR;CTCN;CTCNIA;NCCO;TYCNGR;CTCNGR;COARCL;CTADR0;NIAF;NIAFBT;MNBSCO;MOBSSY;MNBSGP;MNBSTS;MNBSGE;MNBSIF;MNBSCI;MNBSCM;MOCNCT;MOCNCS;MOCNCG;MOCNCE;MOCUGE;MORGIF;MNCHCI;MOCHCM;NBCHDF;CICUZ;BX001D;MCTP13;MOCNLT;MOCNLS;MOCNLG;MOCNLE;MOCULE;MORGLF;MNCHLI;MOCHLM;FILLER;BX001A
Code departement;Numero de direction sur 1c;CODE COMMUNE DE L'AFT;ancien code cne en presence d ifp;numero de compte fichier coll CFE;type EPCI;code EPCI;type article sur 2 caracteres;code voie du lieu d'imposition;NUMERO IMMEUBLE DE L'AFT;indice repetition b/t/q cfe type 1;base taxable commune n;base taxable syndicats;base taxable EPCI;base taxable tse n;base taxable tgemapi;base taxe annuelle ile de france;base taxable tcci;base taxable tcm;cotisation cfe commune;cotisation cfe syndicat;cotisation cfe epci;cotis. tse hors TGEMAPI et TASARIF;cotisation TGEMAPI;cotisation TASARIF;cotisation tcci;cotisation droit additionnel TCMA;nb cotisation tcma droit fixe;code EPCI avec zone (zae ou zde);ZONE BANALISEE 1 CARACTERE X;frais assiette commune et epci;cotisation cfe commune lissee;cotisation cfe syndicat lissee;cotisation cfe epci lissee;cot. tse hors TGEMAPI,TASARIF lissee;cotisation TGEMAPI lissee;cotisation TASARIF lissee;cotisation tcci lissee;cotis. droit additionnel TCMA lissee;;ZONE BANALISEE 1 CARACTERE X
16;0;287;   ;0;L;500;A4;    ;    ; ;0;0;1181310;1181310;1181310;0;1079967;107123;0;0;303838;7995;1569;0;15336;3899;46;H; ;9023;0;0;301322;7931;1569;0;15097;3763;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;291;   ;0;L;500;A4;    ;    ; ;0;0;2836034;2836034;2836034;0;2467712;156876;0;0;729438;19181;3712;0;35034;5707;57;H; ;21886;0;0;730166;19189;3712;0;35134;5727;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;341;   ;0;L;500;A4;    ;    ; ;0;0;418006;418006;418006;0;207617;46544;0;0;107516;2824;552;0;2944;1694;17;H; ;3205;0;0;107124;2816;552;0;2916;1674;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;348;   ;0;L;500;A4;    ;    ; ;0;0;65826;65826;65826;0;24571;24500;0;0;16930;446;86;0;345;890;12;H; ;506;0;0;16946;446;86;0;345;890;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;358;   ;0;L;500;A4;    ;    ; ;0;0;1430472;1430472;1430472;0;1117460;254353;0;0;367923;9665;1880;0;15854;9256;82;H; ;11019;0;0;368019;9657;1880;0;15962;9280;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;368;   ;0;L;500;A4;    ;    ; ;0;0;48770;48770;48770;0;22946;22771;0;0;12539;333;65;0;328;825;13;H; ;384;0;0;12583;333;65;0;332;829;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;370;   ;0;L;500;A4;    ;    ; ;0;0;167449;167449;167449;0;129740;41985;0;0;43070;1135;225;0;1842;1528;16;H; ;1286;0;0;43082;1131;225;0;1838;1540;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;374;   ;0;L;500;A4;    ;    ; ;0;0;3799915;3799915;3799915;0;2684219;380536;0;0;977335;25670;5007;0;38106;13849;84;H; ;29552;0;0;985955;25866;5007;0;39114;13121;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;382;   ;0;L;500;A4;    ;    ; ;0;0;15446;15446;15446;0;5964;4294;0;0;3971;108;21;0;84;156;3;H; ;118;0;0;3963;108;21;0;84;156;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
16;0;385;   ;0;L;500;A4;    ;    ; ;0;0;273363;273363;273363;0;250849;9625;0;0;70308;1850;358;0;3561;350;3;H; ;2109;0;0;70352;1850;358;0;3561;350;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;X
